id,BrandName,Sizes1,Sizes2,Sizes3,Sizes4,Gender,Currency,MRP,Discount,SellPrice,Wear Type,Category,Sleeves,Images,Quantity,TotQun,ExpDate,UpdDate,ClothName
1,viendia,32,36,38,34,male,Rs,3600,10%,299,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt.jpg,150,52,29-01-2024,null,YellowFullsleeve
2,viendia,32,36,38,34,male,Rs,3600,10%,499,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (2).jpg,150,52,30-01-2024,null,BlueFullsleeve
3,viendia,32,36,38,34,male,Rs,3600,10%,599,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (3).jpg,150,52,31-01-2024,null,GreenFullsleeve
4,viendia,32,36,38,34,male,Rs,3600,10%,299,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (4).jpg,458,42,01-02-2024,null,Blackcottons
5,viendia,32,36,38,34,male,Rs,3600,10%,649,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (5).jpg,458,42,02-02-2025,null,Tornblack
6,viendia,32,36,38,34,male,Rs,987,10%,849,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (6).jpg,458,42,03-02-2025,null,whitehalfsleeve
7,viendia,32,36,38,34,male,Rs,987,10%,2449,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (7).jpg,127,42,04-02-2025,null,Redhalfsleeeve
8,viendia,32,36,38,34,male,Rs,987,10%,599,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (8).jpg,127,42,05-02-2025,null,Grayhalfsleeve
9,viendia,32,36,38,34,male,Rs,987,60%,1379,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (9).jpg,127,20,06-02-2025,null,Whitehalfsleeve
10,viendia,32,36,38,34,male,Rs,987,60%,849,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (10).jpg,127,20,07-02-2025,null,Littleflash
11,viendia,32,36,38,34,male,Rs,987,60%,1615,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (11).jpg,127,20,08-02-2025,null,yellowblsc
12,viendia,32,36,38,34,male,Rs,987,60%,649,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (12).jpg,127,20,09-02-2026,null,ShardBlack
13,viendia,32,36,38,34,male,Rs,987,35%,649,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (13).jpg,127,20,10-02-2026,null,Navy
14,viendia,32,36,38,34,male,Rs,987,35%,839,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (14).jpg,127,83,11-02-2026,null,Whiteflowrare
15,viendia,32,36,38,34,male,Rs,987,35%,599,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (15).jpg,127,83,12-02-2026,null,MexicanMade
16,viendia,32,36,38,34,male,Rs,987,35%,749,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (16).jpg,127,83,13-02-2026,null,CottonBluePlain
17,viendia,32,36,38,34,male,Rs,987,35%,499,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (17).jpg,127,70,14-02-2026,null,DarkBlueFegin
18,viendia,32,36,38,34,male,Rs,987,35%,749,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (18).jpg,127,70,15-02-2026,null,BlackFegin
19,viendia,32,36,38,34,male,Rs,987,10%,299,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (19).jpg,127,52,29-01-2024,null,MixedMattos
20,viendia,32,36,38,34,male,Rs,987,10%,499,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (20).jpg,127,52,30-01-2024,null,LeviGrey
21,viendia,32,36,38,34,male,Rs,987,10%,599,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (21).jpg,127,52,31-01-2024,null,LeviYellow
22,viendia,32,36,38,34,male,Rs,987,10%,299,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (22).jpg,127,42,01-02-2024,null,PinkPanter
23,viendia,32,36,38,34,male,Rs,987,10%,649,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (23).jpg,695,42,02-02-2025,null,Mixedoreo
24,viendia,32,36,38,34,male,Rs,987,10%,849,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (24).jpg,695,42,03-02-2025,null,Freakychin
25,viendia,32,36,38,34,male,Rs,987,10%,2449,t-shirts,Westernwear,long,img_Ordclients/clientOrd/vi_Mt-shirt (25).jpg,695,42,04-02-2025,null,Digsn
